,author
949,Robert Campbell and Lindsay Clandfield
950,Emily Brontë 
951,Hugo Pratt 
952,Fernando Assis Pacheco
953,Camilo de Castelo Branco 
954,Malorie Blackman 
955,Fernando Campos
956,Mário Dionísio
957,James Vance Marshall 
958,Joseph Sheridan Le Fanu 
959,Charlotte Bronte 
960,Juan Rulfo 
961,Charlotte Brontë
962,Baroness Emmuska Orczy 
963,Richard Llewellyn 
964,Mário Vargas Llosa 
965,Ezequiel Mphahlele 
966,Warren Fahy 
967,Paul Theroux
968,Frank Tashlin 
969,texto Matt de la Peña 
970,Dr. Seuss 
971,Frank Tashlin
972,il. Pedro Pires
973,texto e il. Catarina Sobral
974,Munro Leaf 
975,"Sandro William Junqueira, Rachel Caiano"
976,Manuela Ribeiro 
977,"Justin Richardson, Peter Parnell "
978,Manuel Marsol 
979,Antonio Sandoval 
980,Clara Cunha + Rachel Caiano
981,David Mckee 
982,João Pedro Mésseder 
983,Graça Breia 
984,"Jorge Rico Ródenas, Anna Laura Cantone "
985,texto e il. de Maurice Sendak 
986,texto e il. Noemi Vola 
987,"Lou Carter, Deborah Allwright "
988,António José Forte 
989,texto e il. Benjamin Chaud 
990,Chloé Perarnau 
991,"Valerie Thomas, Korky Paul "
992,Carolina Celas
993,texto e il. António Jorge Gonçalves
994,texto Rita Canas Mendes 
995,texto e il. Marjolaine Leray 
996,Elys Dolan 
997,Nadia Fink 
998,Tomi Ungerer 
999,Andy Lee 
1000,Valerie Thomas 
1001,texto e il. Madalena Matoso
1002,Stéphane Servant 
1003,texto Ana Isabel Marques 
1004,texto e il. Maurice Sendak 
1005,escrito por Paulo Santos 
1006,Luísa Azevedo 
1007,A. A. Milne 
1008,Maria da Conceição Vicente 
1009,Davide Cali : il. Benjamin Chaud 
1010,José Viale Moutinho 
1011,Leo Lionni 
1012,Ivone Gonçalves
1013,texto e il. de Joana Estrela
1014,texto António Gouveia 
1015,Lídia Borges 
1016,Mário Cordeiro 
1017,Nicola O'Byrne 
1018,Alexandre Bar 
1019,adapt. Xosé Ballesteros 
1020,Pierre Pratt 
1021,Anke de Vries 
1022,texto e il. Joan Negrescolor 
1023,Rocío Alejandro 
1024,Olalla González 
1025,Kathy Wolff 
1026,texto e il. de Ellen Raskin
1027,escolheu José Viale Moutinho 
1028,texto de Kelly DiPucchio 
1029,Dieter Braun 
1030,texto Inês Cardoso 
1031,texto e il. Maria Carolina Pereira Rosa
